Designator,Mid X,Mid Y,Rotation,Layer
R99,130.49,-137.26,90.0,bottom
S1,199.25,-58.75,90.0,top
S6,186.18,-141.246849,0.0,top
S7,198.7391,-141.25,0.0,top
S8,173.67,-141.286849,0.0,top
S9,160.89,-141.206849,0.0,top
SW0,151.51,-142.71,90.0,top
SW1,144.4675,-142.71,90.0,top
U1,150.900001,-96.900001,180.0,top
U10,103.9775,-84.27,180.0,bottom
U11,127.16015,-66.824999,180.0,bottom
U12,103.475001,-107.9753,0.0,top
U13,107.325,-121.099937,270.0,bottom
U14,98.91,-136.24,180.0,top
U15,91.6128,-71.395,180.0,bottom
U16,131.2,-104.3375,0.0,top
U17,133.075,-120.375,180.0,top
U18,133.4143,-117.200126,0.0,top
U19,96.775,-94.5,180.0,top
U2,140.4784,-66.975,0.0,top
U21,89.8769,-93.7467,180.0,top
U22,127.925001,-136.125,270.0,top
U23,106.7586,-127.8,180.0,top
U24,165.22,-65.9325,90.0,bottom
U25,99.4975,-51.227502,0.0,top
U26,94.665441,-58.369999,0.0,bottom
U27,185.72,-66.6,270.0,bottom
U28,165.05,-56.22875,90.0,bottom
U29,185.55,-55.9425,270.0,bottom
U3,92.725,-79.3,0.0,top
U30,84.8575,-59.76,180.0,bottom
U31,145.495,-127.55,90.0,top
U32,150.825,-126.335,180.0,top
U33,156.17,-127.625,90.0,top
U34,82.23,-79.56,270.0,top
U35,83.67,-77.88,90.0,top
U36,91.3283,-89.919999,180.0,top
U37,104.0,-81.87,180.0,bottom
U38,104.12,-79.56,180.0,bottom
U39,104.0175,-87.06,180.0,bottom
U4,180.86,-114.94,0.0,bottom
U40,127.35,-120.67,180.0,top
U5,196.67635,-124.77,90.0,top
U6,196.629348,-110.3734,90.0,top
U7,171.58,-123.62,0.0,bottom
U8,118.0284,-66.9,0.0,top
U9,128.7165,-117.000001,0.0,top
Y1,101.43,-99.7175,90.0,bottom
Y2,163.125,-124.0,180.0,bottom
Y3,84.88,-71.73,180.0,top
Y4,101.995,-55.27,0.0,bottom
