Designator,Footprint,Quantity,Value,LCSC Part #
U36,RM_10_ADI,1,AD8592ARM,
U4,SOIC8_4P9X3P9MC_MCH,1,ATSHA204A-SSHCZ-T,C616025
U40,DBV6_TEX,1,TPS22918DBVR,C131941
U5,TOTX1950AF_TOS,1,TOTX1950AF,
U6,TORX1950AF_TOS,1,TORX1950AF,
U7,SO3016_INF,1,S25FL128SAGMFI000,C393875
U9,SIP32510DT-T1-GE3_VIS,1,SIP32510DT-T1-GE3,
Y1,XTAL_ABMM-25.000MHZ-B2-T,1,ABMM-25.000MHZ-B2-T,C596927
Y2,OSC_SG-8018CE_50.0000M-TJHPA,1,SG-8018CE_50.0000M-TJHPA,C390511
Y3,SIT1602AC1233E12000000G,1,SIT1602AC-12-33E-12.000000G,C1988349
Y4,CRYSTAL_ABM8G_ABR,1,ABM8G-26.000MHZ-18-D2Y-T,C1985426
