Designator,Mid X,Mid Y,Rotation,Layer
C84,172.45,-95.5,0.0,bottom
C85,157.4,-90.9,180.0,bottom
C86,157.05,-102.55,270.0,bottom
C87,155.3,-92.05,90.0,bottom
C88,157.4,-105.45,180.0,bottom
C89,157.7,-92.9,90.0,bottom
C9,134.7,-82.9,270.0,bottom
C90,160.5,-100.8,180.0,bottom
C91,162.25,-87.65,180.0,bottom
C92,153.35,-105.4,0.0,bottom
C93,146.15,-110.7,0.0,bottom
C94,157.8,-85.0,180.0,bottom
C95,160.3,-87.55,0.0,bottom
C96,156.85,-85.9,180.0,bottom
C97,153.4,-102.2,0.0,bottom
C98,155.4,-90.15,0.0,bottom
C99,152.5,-92.55,180.0,bottom
CR1,176.8,-121.0,270.0,bottom
CR2,119.7,-124.45,0.0,bottom
CR3,104.2,-68.75,180.0,bottom
CR4,107.85,-138.7,90.0,bottom
CR5,120.1197,-76.8745,90.0,bottom
CR6,82.3215,-75.75,0.0,bottom
CR7,82.25,-77.25,0.0,bottom
D1,158.515,-138.75,0.0,top
D25,103.265,-126.25,0.0,top
D26,146.85,-62.7,0.0,bottom
D27,126.7,-62.85,180.0,bottom
D28,102.985,-96.5,0.0,top
D32,102.985,-94.25,0.0,top
D33,103.0,-92.5,0.0,top
D37,93.8,-137.35,0.0,top
D4,171.5,-139.0,0.0,top
D5,184.25,-139.25,0.0,top
D6,195.265,-139.25,0.0,top
D7,143.0,-129.25,90.0,top
D8,138.5,-129.0,90.0,top
DONE1,119.5475,-95.8,180.0,top
F1,108.55,-64.65,0.0,bottom
F2,86.25,-87.0,0.0,bottom
FL1,145.665,-108.5,0.0,bottom
FL2,110.35,-121.45,0.0,bottom
FL3,103.45,-119.5,90.0,bottom
FL4,107.565,-119.25,180.0,bottom
FL5,129.6,-113.7,270.0,top
FL6,110.75,-82.485,270.0,bottom
FL7,111.485,-70.75,0.0,bottom
FL8,111.485,-72.25,0.0,bottom
IC1,167.75,-97.05,180.0,top
J1,85.25,-132.223,180.0,top
J10,118.35,-54.25,180.0,top
J11,140.25,-54.25,180.0,top
J12,87.6875,-112.25,270.0,top
J13,196.75,-93.12,90.0,bottom
J14,151.9,-77.82,0.0,top
J15,84.65,-60.25,270.0,top
J16,77.25,-77.75,270.0,top
J17,109.25,-145.855,180.0,top
J2,95.0,-146.55,0.0,top
J3,102.5,-147.85,90.0,top
J4,115.75,-83.49,180.0,top
J5,197.73,-77.75,90.0,top
J6,132.15,-115.88,180.0,top
J7,165.99,-133.3,270.0,top
J8,197.73,-82.75,90.0,top
J9,80.854,-95.25,0.0,top
L1,185.75,-113.75,0.0,top
L10,130.6,-129.6,0.0,top
L2,119.9,-114.65,270.0,bottom
L3,106.25,-130.6,90.0,top
L5,115.8095,-130.0242,0.0,top
L6,115.0534,-145.75,0.0,top
L7,127.95,-146.2,180.0,top
P1,183.1451,-61.199573,180.0,top
P2,162.6451,-61.199573,180.0,top
PWR1,119.515,-97.1,180.0,top
Q10,102.4975,-65.25,0.0,bottom
Q7,101.5475,-137.75,0.0,bottom
Q8,112.69,-124.2,0.0,bottom
Q9,126.65,-67.71,90.0,bottom
R1,158.5,-136.75,0.0,top
R10,93.5,-89.5,180.0,bottom
R100,118.7,-144.75,90.0,top
R101,127.75,-140.25,0.0,top
R102,127.7,-138.5,180.0,top
R103,132.2,-145.6,270.0,top
R104,124.45,-144.15,270.0,top
R105,112.25,-141.25,90.0,top
R106,116.7,-139.55,0.0,top
R107,113.75,-133.75,0.0,top
R108,116.75,-133.75,0.0,top
R109,125.55,-127.8,180.0,top
R11,90.0,-91.25,0.0,bottom
R110,123.3,-129.35,180.0,top
R111,87.25,-77.25,0.0,bottom
R112,81.75,-79.75,90.0,bottom
R113,100.75,-70.75,180.0,bottom
R114,142.7,-87.0,270.0,top
R115,140.45,-87.35,0.0,bottom
R116,162.35,-119.1,0.0,bottom
R117,170.6,-116.5,270.0,bottom
R118,158.3,-110.8,270.0,bottom
R119,151.25,-108.15,0.0,bottom
R12,90.0,-98.0,270.0,bottom
R120,150.6,-109.95,0.0,bottom
R121,158.2,-106.75,0.0,bottom
R122,134.85,-118.7,270.0,bottom
R123,135.3,-117.05,180.0,bottom
R124,135.25,-70.05,270.0,top
R125,117.295,-67.2,0.0,top
R126,121.345,-67.8,90.0,top
R127,120.245,-72.0,0.0,top
R128,114.745,-70.0,90.0,top
R129,138.95,-67.7,0.0,top
R13,184.25,-137.25,0.0,top
R130,141.55,-69.45,270.0,top
R131,121.245,-69.85,90.0,top
R132,137.85,-71.8,180.0,top
R133,135.7,-72.1,0.0,top
R134,144.65,-62.85,270.0,top
R135,143.55,-62.85,270.0,bottom
R136,142.4,-62.85,270.0,bottom
R137,141.3,-62.85,270.0,bottom
R138,138.3,-62.7,270.0,top
R139,136.75,-62.75,270.0,top
R14,195.25,-137.5,0.0,top
R140,135.0,-62.75,270.0,bottom
R141,133.55,-62.8,270.0,top
R142,143.15,-69.55,270.0,top
R143,119.85,-62.75,270.0,bottom
R144,118.7,-62.75,270.0,top
R145,117.5,-62.75,270.0,top
R146,116.2,-62.75,270.0,top
R147,114.95,-62.8,270.0,top
R148,112.75,-62.75,270.0,bottom
R149,113.8,-62.75,270.0,top
R15,171.5,-140.75,180.0,top
R150,110.1,-61.3,180.0,top
R151,114.545,-65.25,0.0,top
R152,120.95,-86.25,90.0,bottom
R153,129.5,-59.5,0.0,bottom
R154,121.15,-62.7,90.0,top
R155,123.05,-68.0,270.0,bottom
R156,110.7,-109.15,90.0,top
R157,114.7,-117.15,0.0,top
R158,114.8,-111.3,90.0,top
R159,116.35,-114.55,270.0,top
R16,96.0,-99.5,180.0,bottom
R160,113.3,-119.25,0.0,top
R161,116.65,-113.15,0.0,top
R162,115.25,-114.4,90.0,top
R163,113.55,-114.85,0.0,top
R164,114.3,-115.9,0.0,top
R165,113.1,-113.95,0.0,top
R166,113.15,-112.85,0.0,top
R167,113.15,-110.85,0.0,top
R168,111.85,-118.7,90.0,top
R169,113.45,-111.8,180.0,top
R17,172.8,-99.05,270.0,bottom
R170,107.9,-118.2,180.0,top
R171,107.35,-109.6,0.0,top
R172,104.8,-110.7,270.0,top
R173,110.25,-106.95,0.0,top
R174,107.55,-108.05,90.0,top
R175,112.7,-108.05,90.0,top
R176,108.8,-109.2,90.0,top
R177,109.7,-109.2,90.0,top
R178,111.7,-109.15,90.0,top
R179,186.4,-96.15,180.0,bottom
R18,174.85,-120.2,90.0,bottom
R180,123.5,-114.5,270.0,bottom
R181,81.3,-112.8,180.0,bottom
R182,105.5,-117.4,180.0,top
R183,174.0,-122.5,90.0,bottom
R184,188.25,-96.75,90.0,bottom
R185,186.4,-97.3,180.0,bottom
R186,188.7,-90.95,270.0,bottom
R187,118.75,-122.25,180.0,bottom
R188,88.7,-144.55,270.0,bottom
R189,182.75,-128.25,0.0,top
R19,173.95,-120.2,270.0,bottom
R190,182.75,-126.75,0.0,top
R191,185.75,-111.75,0.0,top
R192,141.1,-88.25,180.0,bottom
R193,93.25,-98.0,180.0,bottom
R194,98.75,-97.0,270.0,bottom
R195,96.25,-95.5,270.0,bottom
R196,96.75,-90.0,180.0,bottom
R197,90.25,-100.25,180.0,bottom
R198,91.75,-73.75,180.0,bottom
R199,106.3,-60.65,90.0,bottom
R2,171.5,-137.0,0.0,top
R20,172.75,-101.0,270.0,top
R200,103.3,-62.3,180.0,bottom
R201,116.4,-74.15,0.0,bottom
R202,105.7,-56.15,270.0,bottom
R203,99.9,-57.95,90.0,bottom
R204,99.85,-60.1,270.0,top
R205,93.75,-64.35,0.0,bottom
R206,130.3,-140.75,180.0,top
R207,122.45,-62.75,90.0,top
